Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2019,0,0,United States,"320,118,791","39,490,096","39,248,096","39,732,096","39,248,096 to 39,732,096",12.3,12.2,12.4,12.2 to 12.4,"71,633,453","12,000,470","11,865,995","12,134,945","11,865,995 to 12,134,945",16.8,16.6,17,16.6 to 17.0,"52,324,733","8,258,906","8,160,650","8,357,162","8,160,650 to 8,357,162",15.8,15.6,16,15.6 to 16.0,"19,002,162","3,457,689","3,405,854","3,509,524","3,405,854 to 3,509,524",18.2,17.9,18.5,17.9 to 18.5,"$65,712 ","$65,594 ","$65,830 ","$65,594 to $65,830"
2018,0,0,United States,"319,184,033","41,852,315","41,619,366","42,085,264","41,619,366 to 42,085,264",13.1,13,13.2,13.0 to 13.2,"72,163,269","12,997,532","12,873,127","13,121,937","12,873,127 to 13,121,937",18,17.8,18.2,17.8 to 18.2,"52,529,919","8,930,152","8,834,521","9,025,783","8,834,521 to 9,025,783",17,16.8,17.2,16.8 to 17.2,"19,301,529","3,758,704","3,714,862","3,802,546","3,714,862 to 3,802,546",19.5,19.3,19.7,19.3 to 19.7,"$61,937 ","$61,843 ","$62,031 ","$61,843 to $62,031"
2017,0,0,United States,"317,741,588","42,583,651","42,342,619","42,824,683","42,342,619 to 42,824,683",13.4,13.3,13.5,13.3 to 13.5,"72,452,925","13,353,202","13,229,339","13,477,065","13,229,339 to 13,477,065",18.4,18.2,18.6,18.2 to 18.6,"52,669,201","9,120,503","9,033,090","9,207,916","9,033,090 to 9,207,916",17.3,17.1,17.5,17.1 to 17.5,"19,457,844","3,932,969","3,880,645","3,985,293","3,880,645 to 3,985,293",20.2,19.9,20.5,19.9 to 20.5,"$60,336 ","$60,250 ","$60,422 ","$60,250 to $60,422"
2016,0,0,United States,"315,165,470","44,268,996","44,022,086","44,515,906","44,022,086 to 44,515,906",14,13.9,14.1,13.9 to 14.1,"72,452,603","14,115,713","13,976,345","14,255,081","13,976,345 to 14,255,081",19.5,19.3,19.7,19.3 to 19.7,"52,644,648","9,648,486","9,548,767","9,748,205","9,548,767 to 9,748,205",18.3,18.1,18.5,18.1 to 18.5,"19,473,767","4,156,949","4,108,397","4,205,501","4,108,397 to 4,205,501",21.3,21.1,21.5,21.1 to 21.5,"$57,617 ","$57,502 ","$57,732 ","$57,502 to $57,732"
2015,0,0,United States,"313,476,400","46,153,077","45,878,016","46,428,138","45,878,016 to 46,428,138",14.7,14.6,14.8,14.6 to 14.8,"72,454,786","15,000,273","14,862,975","15,137,571","14,862,975 to 15,137,571",20.7,20.5,20.9,20.5 to 20.9,"52,635,679","10,245,028","10,145,484","10,344,572","10,145,484 to 10,344,572",19.5,19.3,19.7,19.3 to 19.7,"19,489,402","4,448,211","4,397,105","4,499,317","4,397,105 to 4,499,317",22.8,22.5,23.1,22.5 to 23.1,"$55,775 ","$55,690 ","$55,860 ","$55,690 to $55,860"
2014,0,0,United States,"310,899,910","48,208,387","47,966,830","48,449,944","47,966,830 to 48,449,944",15.5,15.4,15.6,15.4 to 15.6,"72,386,485","15,686,012","15,564,145","15,807,879","15,564,145 to 15,807,879",21.7,21.5,21.9,21.5 to 21.9,"52,594,799","10,714,518","10,632,252","10,796,784","10,632,252 to 10,796,784",20.4,20.2,20.6,20.2 to 20.6,"19,453,155","4,658,187","4,609,104","4,707,270","4,609,104 to 4,707,270",23.9,23.7,24.1,23.7 to 24.1,"$53,657 ","$53,564 ","$53,750 ","$53,564 to $53,750"
2013,0,0,United States,"308,196,783","48,810,868","48,554,692","49,067,044","48,554,692 to 49,067,044",15.8,15.7,15.9,15.7 to 15.9,"72,382,173","16,086,960","15,948,844","16,225,076","15,948,844 to 16,225,076",22.2,22,22.4,22.0 to 22.4,"52,605,987","10,958,232","10,860,529","11,055,935","10,860,529 to 11,055,935",20.8,20.6,21,20.6 to 21.0,"19,438,875","4,811,689","4,759,374","4,864,004","4,759,374 to 4,864,004",24.8,24.5,25.1,24.5 to 25.1,"$52,250 ","$52,185 ","$52,315 ","$52,185 to $52,315"
2012,0,0,United States,"306,086,063","48,760,123","48,528,543","48,991,703","48,528,543 to 48,991,703",15.9,15.8,16,15.8 to 16.0,"72,605,436","16,396,863","16,275,868","16,517,858","16,275,868 to 16,517,858",22.6,22.4,22.8,22.4 to 22.8,"52,675,863","11,086,537","10,995,403","11,177,671","10,995,403 to 11,177,671",21,20.8,21.2,20.8 to 21.2,"19,611,275","5,014,970","4,971,692","5,058,248","4,971,692 to 5,058,248",25.6,25.4,25.8,25.4 to 25.8,"$51,371 ","$51,318 ","$51,424 ","$51,318 to $51,424"
2011,0,0,United States,"303,778,193","48,452,035","48,217,869","48,686,201","48,217,869 to 48,686,201",15.9,15.8,16,15.8 to 16.0,"72,802,773","16,386,500","16,262,247","16,510,753","16,262,247 to 16,510,753",22.5,22.3,22.7,22.3 to 22.7,"52,708,799","10,976,987","10,882,675","11,071,299","10,882,675 to 11,071,299",20.8,20.6,21,20.6 to 21.0,"19,772,854","5,110,087","5,061,357","5,158,817","5,061,357 to 5,158,817",25.8,25.6,26,25.6 to 26.0,"$50,502 ","$50,429 ","$50,575 ","$50,429 to $50,575"
2010,0,0,United States,"301,535,021","46,215,956","45,975,650","46,456,262","45,975,650 to 46,456,262",15.3,15.2,15.4,15.2 to 15.4,"73,024,577","15,749,129","15,621,395","15,876,863","15,621,395 to 15,876,863",21.6,21.4,21.8,21.4 to 21.8,"52,872,735","10,484,513","10,394,015","10,575,011","10,394,015 to 10,575,011",19.8,19.6,20,19.6 to 20.0,"19,822,633","4,961,524","4,910,772","5,012,276","4,910,772 to 5,012,276",25,24.8,25.2,24.8 to 25.2,"$50,046 ","$49,982 ","$50,110 ","$49,982 to $50,110"
2009,0,0,United States,"299,026,555","42,868,163","42,631,574","43,104,752","42,631,574 to 43,104,752",14.3,14.3,14.4,14.3 to 14.4,"73,347,404","14,656,962","14,526,159","14,787,765","14,526,159 to 14,787,765",20,19.8,20.2,19.8 to 20.2,"52,143,306","9,509,142","9,419,830","9,598,454","9,419,830 to 9,598,454",18.2,18.1,18.4,18.1 to 18.4,"20,878,285","4,849,988","4,792,377","4,907,599","4,792,377 to 4,907,599",23.2,23,23.5,23.0 to 23.5,"$50,221 ","$50,147 ","$50,295 ","$50,147 to $50,295"
2008,0,0,United States,"296,184,480","39,108,422","38,858,742","39,358,102","38,858,742 to 39,358,102",13.2,13.1,13.3,13.1 to 13.3,"72,825,003","13,240,870","13,115,296","13,366,444","13,115,296 to 13,366,444",18.2,18,18.4,18.0 to 18.4,"51,864,080","8,549,526","8,469,455","8,629,597","8,469,455 to 8,629,597",16.5,16.3,16.6,16.3 to 16.6,"20,602,241","4,369,698","4,311,741","4,427,655","4,311,741 to 4,427,655",21.2,20.9,21.5,20.9 to 21.5,"$52,029 ","$51,956 ","$52,102 ","$51,956 to $52,102"
2007,0,0,United States,"293,744,043","38,052,247","37,829,283","38,275,211","37,829,283 to 38,275,211",13,12.9,13,12.9 to 13.0,"72,665,911","13,097,100","12,981,173","13,213,027","12,981,173 to 13,213,027",18,17.9,18.2,17.9 to 18.2,"51,904,411","8,499,844","8,419,720","8,579,968","8,419,720 to 8,579,968",16.4,16.2,16.5,16.2 to 16.5,"20,348,501","4,229,120","4,178,842","4,279,398","4,178,842 to 4,279,398",20.8,20.5,21,20.5 to 21.0,"$50,740 ","$50,665 ","$50,815 ","$50,665 to $50,815"
2006,0,0,United States,"291,531,091","38,757,253","38,535,015","38,979,491","38,535,015 to 38,979,491",13.3,13.2,13.4,13.2 to 13.4,"72,482,732","13,285,569","13,170,950","13,400,188","13,170,950 to 13,400,188",18.3,18.2,18.5,18.2 to 18.5,"51,999,081","8,700,048","8,613,863","8,786,233","8,613,863 to 8,786,233",16.7,16.6,16.9,16.6 to 16.9,"20,066,651","4,211,345","4,166,465","4,256,225","4,166,465 to 4,256,225",21,20.8,21.2,20.8 to 21.2,"$48,451 ","$48,369 ","$48,533 ","$48,369 to $48,533"
2005,0,0,United States,"287,270,432","38,231,474","37,934,924","38,528,024","37,934,924 to 38,528,024",13.3,13.2,13.4,13.2 to 13.4,"72,023,983","13,360,273","13,217,771","13,502,775","13,217,771 to 13,502,775",18.5,18.4,18.7,18.4 to 18.7,"51,658,744","8,765,541","8,662,789","8,868,293","8,662,789 to 8,868,293",17,16.8,17.2,16.8 to 17.2,"19,959,312","4,242,948","4,187,205","4,298,691","4,187,205 to 4,298,691",21.3,21,21.5,21.0 to 21.5,"$46,242 ","$46,138 ","$46,346 ","$46,138 to $46,346"
2004,0,0,United States,"290,616,537","37,039,804","36,359,662","37,719,946","36,359,662 to 37,719,946",12.7,12.5,13,12.5 to 13.0,"73,241,407","13,041,492","12,694,086","13,388,898","12,694,086 to 13,388,898",17.8,17.3,18.3,17.3 to 18.3,"52,159,407","8,430,886","8,142,299","8,719,473","8,142,299 to 8,719,473",16.2,15.6,16.7,15.6 to 16.7,"20,121,433","4,123,715","3,917,910","4,329,520","3,917,910 to 4,329,520",20.5,19.5,21.5,19.5 to 21.5,"$44,334 ","$44,012 ","$44,656 ","$44,012 to $44,656"
2003,0,0,United States,"287,699,184","35,861,170","35,190,401","36,531,939","35,190,401 to 36,531,939",12.5,12.2,12.7,12.2 to 12.7,"72,999,159","12,865,806","12,519,657","13,211,955","12,519,657 to 13,211,955",17.6,17.2,18.1,17.2 to 18.1,"52,278,842","8,399,573","8,111,130","8,688,016","8,111,130 to 8,688,016",16.1,15.5,16.6,15.5 to 16.6,"19,763,309","4,021,366","3,817,517","4,225,215","3,817,517 to 4,225,215",20.3,19.3,21.4,19.3 to 21.4,"$43,318 ","$43,009 ","$43,627 ","$43,009 to $43,627"
2002,0,0,United States,"285,317,346","34,569,951","33,912,173","35,227,729","33,912,173 to 35,227,729",12.1,11.9,12.3,11.9 to 12.3,"72,695,775","12,132,645","11,795,343","12,469,947","11,795,343 to 12,469,947",16.7,16.2,17.2,16.2 to 17.2,"52,168,584","8,004,514","7,722,500","8,286,528","7,722,500 to 8,286,528",15.3,14.8,15.9,14.8 to 15.9,"19,594,188","3,727,193","3,530,466","3,923,920","3,530,466 to 3,923,920",19,18,20,18.0 to 20.0,"$42,409 ","$42,180 ","$42,638 ","$42,180 to $42,638"
2019,39,39000,Ohio,"11,362,381","1,474,285","1,449,452","1,499,118","1,449,452 to 1,499,118",13,12.8,13.2,12.8 to 13.2,"2,528,042","458,134","443,797","472,471","443,797 to 472,471",18.1,17.5,18.7,17.5 to 18.7,"1,842,952","306,068","293,671","318,465","293,671 to 318,465",16.6,15.9,17.3,15.9 to 17.3,"671,754","140,477","134,175","146,779","134,175 to 146,779",20.9,20,21.8,20.0 to 21.8,"$58,704 ","$58,147 ","$59,261 ","$58,147 to $59,261"
2018,39,39000,Ohio,"11,362,293","1,568,586","1,542,309","1,594,863","1,542,309 to 1,594,863",13.8,13.6,14,13.6 to 14.0,"2,542,193","489,053","474,343","503,763","474,343 to 503,763",19.2,18.6,19.8,18.6 to 19.8,"1,855,952","329,764","317,103","342,425","317,103 to 342,425",17.8,17.1,18.5,17.1 to 18.5,"675,060","149,036","141,573","156,499","141,573 to 156,499",22.1,21,23.2,21.0 to 23.2,"$56,155 ","$55,735 ","$56,575 ","$55,735 to $56,575"
2017,39,39000,Ohio,"11,330,717","1,575,401","1,551,281","1,599,521","1,551,281 to 1,599,521",13.9,13.7,14.1,13.7 to 14.1,"2,556,563","507,119","493,056","521,182","493,056 to 521,182",19.8,19.2,20.4,19.2 to 20.4,"1,862,800","339,888","328,221","351,555","328,221 to 351,555",18.2,17.6,18.8,17.6 to 18.8,"680,703","155,522","148,753","162,291","148,753 to 162,291",22.8,21.8,23.8,21.8 to 23.8,"$54,077 ","$53,670 ","$54,484 ","$53,670 to $54,484"
2016,39,39000,Ohio,"11,287,358","1,639,636","1,614,177","1,665,095","1,614,177 to 1,665,095",14.5,14.3,14.7,14.3 to 14.7,"2,560,276","521,730","506,894","536,566","506,894 to 536,566",20.4,19.8,21,19.8 to 21.0,"1,867,452","348,713","335,691","361,735","335,691 to 361,735",18.7,18,19.4,18.0 to 19.4,"679,609","160,833","153,884","167,782","153,884 to 167,782",23.7,22.7,24.7,22.7 to 24.7,"$52,357 ","$52,083 ","$52,631 ","$52,083 to $52,631"
2015,39,39000,Ohio,"11,295,380","1,670,487","1,646,455","1,694,519","1,646,455 to 1,694,519",14.8,14.6,15,14.6 to 15.0,"2,583,951","546,968","532,624","561,312","532,624 to 561,312",21.2,20.6,21.8,20.6 to 21.8,"1,893,365","365,471","352,710","378,232","352,710 to 378,232",19.3,18.6,20,18.6 to 20.0,"678,544","170,403","163,810","176,996","163,810 to 176,996",25.1,24.1,26.1,24.1 to 26.1,"$51,086 ","$50,853 ","$51,319 ","$50,853 to $51,319"
2014,39,39000,Ohio,"11,276,366","1,778,288","1,755,728","1,800,848","1,755,728 to 1,800,848",15.8,15.6,16,15.6 to 16.0,"2,593,237","588,618","574,885","602,351","574,885 to 602,351",22.7,22.2,23.2,22.2 to 23.2,"1,905,146","395,792","383,745","407,839","383,745 to 407,839",20.8,20.2,21.4,20.2 to 21.4,"674,567","180,249","174,013","186,485","174,013 to 186,485",26.7,25.8,27.6,25.8 to 27.6,"$49,349 ","$48,991 ","$49,707 ","$48,991 to $49,707"
2013,39,39000,Ohio,"11,248,737","1,793,523","1,767,288","1,819,758","1,767,288 to 1,819,758",15.9,15.7,16.1,15.7 to 16.1,"2,602,025","589,871","573,913","605,829","573,913 to 605,829",22.7,22.1,23.3,22.1 to 23.3,"1,913,341","398,690","384,850","412,530","384,850 to 412,530",20.8,20.1,21.5,20.1 to 21.5,"675,591","179,739","171,962","187,516","171,962 to 187,516",26.6,25.4,27.8,25.4 to 27.8,"$48,138 ","$47,736 ","$48,540 ","$47,736 to $48,540"
2012,39,39000,Ohio,"11,227,437","1,818,886","1,797,356","1,840,416","1,797,356 to 1,840,416",16.2,16,16.4,16.0 to 16.4,"2,615,367","617,006","603,764","630,248","603,764 to 630,248",23.6,23.1,24.1,23.1 to 24.1,"1,922,165","411,818","400,008","423,628","400,008 to 423,628",21.4,20.8,22,20.8 to 22.0,"679,930","192,591","186,623","198,559","186,623 to 198,559",28.3,27.4,29.2,27.4 to 29.2,"$46,873 ","$46,582 ","$47,164 ","$46,582 to $47,164"
2011,39,39000,Ohio,"11,234,064","1,836,098","1,811,265","1,860,931","1,811,265 to 1,860,931",16.3,16.1,16.5,16.1 to 16.5,"2,649,293","634,234","618,946","649,522","618,946 to 649,522",23.9,23.3,24.5,23.3 to 24.5,"1,937,723","417,165","404,352","429,978","404,352 to 429,978",21.5,20.8,22.2,20.8 to 22.2,"698,073","205,132","197,444","212,820","197,444 to 212,820",29.4,28.3,30.5,28.3 to 30.5,"$45,803 ","$45,487 ","$46,119 ","$45,487 to $46,119"
2010,39,39000,Ohio,"11,224,913","1,771,404","1,746,640","1,796,168","1,746,640 to 1,796,168",15.8,15.6,16,15.6 to 16.0,"2,678,989","619,354","604,905","633,803","604,905 to 633,803",23.1,22.6,23.6,22.6 to 23.6,"1,960,986","407,567","394,584","420,550","394,584 to 420,550",20.8,20.1,21.5,20.1 to 21.5,"705,656","199,674","192,989","206,359","192,989 to 206,359",28.3,27.4,29.2,27.4 to 29.2,"$45,151 ","$44,860 ","$45,442 ","$44,860 to $45,442"
2009,39,39000,Ohio,"11,225,160","1,699,288","1,673,917","1,724,660","1,673,917 to 1,724,660",15.1,14.9,15.4,14.9 to 15.4,"2,671,682","577,026","562,062","591,990","562,062 to 591,990",21.6,21,22.2,21.0 to 22.2,"1,931,078","371,431","358,289","384,573","358,289 to 384,573",19.2,18.6,19.9,18.6 to 19.9,"727,073","193,000","186,032","199,969","186,032 to 199,969",26.5,25.6,27.5,25.6 to 27.5,"$45,467 ","$45,121 ","$45,813 ","$45,121 to $45,813"
2008,39,39000,Ohio,"11,172,159","1,489,314","1,466,921","1,511,707","1,466,921 to 1,511,707",13.3,13.1,13.5,13.1 to 13.5,"2,690,713","496,890","483,476","510,304","483,476 to 510,304",18.5,18,19,18.0 to 19.0,"1,948,770","315,873","304,603","327,143","304,603 to 327,143",16.2,15.6,16.8,15.6 to 16.8,"728,969","168,643","161,859","175,428","161,859 to 175,428",23.1,22.2,24.1,22.2 to 24.1,"$48,011 ","$47,695 ","$48,326 ","$47,695 to $48,326"
2007,39,39000,Ohio,"11,151,371","1,458,625","1,436,688","1,480,562","1,436,688 to 1,480,562",13.1,12.9,13.3,12.9 to 13.3,"2,701,298","497,554","483,970","511,139","483,970 to 511,139",18.4,17.9,18.9,17.9 to 18.9,"1,964,128","323,397","311,542","335,252","311,542 to 335,252",16.5,15.9,17.1,15.9 to 17.1,"722,443","160,400","153,594","167,206","153,594 to 167,206",22.2,21.3,23.1,21.3 to 23.1,"$46,645 ","$46,344 ","$46,946 ","$46,344 to $46,946"
2006,39,39000,Ohio,"11,156,061","1,475,788","1,450,517","1,501,058","1,450,517 to 1,501,058",13.2,13,13.5,13.0 to 13.5,"2,717,164","502,846","488,389","517,302","488,389 to 517,302",18.5,18,19,18.0 to 19.0,"1,980,581","325,254","312,506","338,002","312,506 to 338,002",16.4,15.8,17.1,15.8 to 17.1,"721,053","163,320","156,831","169,809","156,831 to 169,809",22.7,21.8,23.6,21.8 to 23.6,"$44,609 ","$44,263 ","$44,955 ","$44,263 to $44,955"
2005,39,39000,Ohio,"11,117,482","1,442,421","1,418,607","1,466,234","1,418,607 to 1,466,234",13,12.8,13.2,12.8 to 13.2,"2,711,978","501,341","488,011","514,671","488,011 to 514,671",18.5,18,19,18.0 to 19.0,"1,974,516","322,771","311,367","334,175","311,367 to 334,175",16.3,15.8,16.9,15.8 to 16.9,"721,911","163,836","156,880","170,792","156,880 to 170,792",22.7,21.7,23.7,21.7 to 23.7,"$43,547 ","$43,214 ","$43,880 ","$43,214 to $43,880"
2004,39,39000,Ohio,"11,249,853","1,313,682","1,229,892","1,397,472","1,229,892 to 1,397,472",11.7,10.9,12.4,10.9 to 12.4,"2,756,277","463,954","422,900","505,009","422,900 to 505,009",16.8,15.3,18.3,15.3 to 18.3,"1,987,812","288,329","253,096","323,562","253,096 to 323,562",14.5,12.7,16.3,12.7 to 16.3,"728,580","157,817","137,288","178,345","137,288 to 178,345",21.7,18.8,24.5,18.8 to 24.5,"$43,371 ","$42,128 ","$44,614 ","$42,128 to $44,614"
2003,39,39000,Ohio,"11,231,817","1,196,943","1,130,211","1,263,674","1,130,211 to 1,263,674",10.7,10.1,11.3,10.1 to 11.3,"2,772,381","425,893","391,970","459,815","391,970 to 459,815",15.4,14.1,16.6,14.1 to 16.6,"2,018,456","258,749","233,862","283,636","233,862 to 283,636",12.8,11.6,14.1,11.6 to 14.1,"720,134","150,105","127,883","172,327","127,883 to 172,327",20.8,17.8,23.9,17.8 to 23.9,"$43,119 ","$41,865 ","$44,373 ","$41,865 to $44,373"
2002,39,39000,Ohio,"11,219,466","1,147,950","1,080,222","1,215,678","1,080,222 to 1,215,678",10.2,9.6,10.8,9.6 to 10.8,"2,798,743","378,143","341,484","414,802","341,484 to 414,802",13.5,12.2,14.8,12.2 to 14.8,"2,039,134","238,368","206,929","269,807","206,929 to 269,807",11.7,10.1,13.2,10.1 to 13.2,"729,018","126,354","107,369","145,340","107,369 to 145,340",17.3,14.7,19.9,14.7 to 19.9,"$42,246 ","$40,764 ","$43,728 ","$40,764 to $43,728"
2019,39,39001,Adams County (OH),"27,282","5,200","4,202","6,198","4,202 to 6,198",19.1,15.4,22.8,15.4 to 22.8,"6,409","1,890","1,443","2,337","1,443 to 2,337",29.5,22.5,36.5,22.5 to 36.5,"4,753","1,374","1,025","1,723","1,025 to 1,723",28.9,21.6,36.2,21.6 to 36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,145 ","$38,270 ","$48,020 ","$38,270 to $48,020"
2018,39,39001,Adams County (OH),"27,304","5,382","4,408","6,356","4,408 to 6,356",19.7,16.1,23.3,16.1 to 23.3,"6,412","1,865","1,444","2,286","1,444 to 2,286",29.1,22.5,35.7,22.5 to 35.7,"4,788","1,199",855,"1,543","855 to 1,543",25,17.8,32.2,17.8 to 32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,154 ","$37,649 ","$46,659 ","$37,649 to $46,659"
2017,39,39001,Adams County (OH),"27,307","5,092","4,089","6,095","4,089 to 6,095",18.6,14.9,22.3,14.9 to 22.3,"6,501","1,792","1,390","2,194","1,390 to 2,194",27.6,21.4,33.8,21.4 to 33.8,"4,852","1,232",933,"1,531","933 to 1,531",25.4,19.2,31.6,19.2 to 31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,644 ","$37,831 ","$45,457 ","$37,831 to $45,457"
2016,39,39001,Adams County (OH),"27,479","5,543","4,529","6,557","4,529 to 6,557",20.2,16.5,23.9,16.5 to 23.9,"6,545","1,936","1,521","2,351","1,521 to 2,351",29.6,23.3,35.9,23.3 to 35.9,"4,931","1,387","1,076","1,698","1,076 to 1,698",28.1,21.8,34.4,21.8 to 34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,302 ","$34,561 ","$42,043 ","$34,561 to $42,043"
2015,39,39001,Adams County (OH),"27,614","5,893","4,917","6,869","4,917 to 6,869",21.3,17.8,24.8,17.8 to 24.8,"6,666","1,953","1,559","2,347","1,559 to 2,347",29.3,23.4,35.2,23.4 to 35.2,"5,029","1,356","1,047","1,665","1,047 to 1,665",27,20.9,33.1,20.9 to 33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,609 ","$33,487 ","$39,731 ","$33,487 to $39,731"
2014,39,39001,Adams County (OH),"27,715","6,864","5,832","7,896","5,832 to 7,896",24.8,21.1,28.5,21.1 to 28.5,"6,734","2,241","1,807","2,675","1,807 to 2,675",33.3,26.9,39.7,26.9 to 39.7,"5,039","1,587","1,264","1,910","1,264 to 1,910",31.5,25.1,37.9,25.1 to 37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,116 ","$30,797 ","$37,435 ","$30,797 to $37,435"
2013,39,39001,Adams County (OH),"27,684","6,670","5,635","7,705","5,635 to 7,705",24.1,20.4,27.8,20.4 to 27.8,"6,675","2,349","1,906","2,792","1,906 to 2,792",35.2,28.6,41.8,28.6 to 41.8,"4,962","1,619","1,271","1,967","1,271 to 1,967",32.6,25.6,39.6,25.6 to 39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,259 ","$34,533 ","$39,985 ","$34,533 to $39,985"
2012,39,39001,Adams County (OH),"27,928","6,171","5,143","7,199","5,143 to 7,199",22.1,18.4,25.8,18.4 to 25.8,"6,775","2,269","1,807","2,731","1,807 to 2,731",33.5,26.7,40.3,26.7 to 40.3,"5,022","1,628","1,286","1,970","1,286 to 1,970",32.4,25.6,39.2,25.6 to 39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,955 ","$32,351 ","$37,559 ","$32,351 to $37,559"
2011,39,39001,Adams County (OH),"28,045","6,310","5,151","7,469","5,151 to 7,469",22.5,18.4,26.6,18.4 to 26.6,"6,858","2,312","1,807","2,817","1,807 to 2,817",33.7,26.3,41.1,26.3 to 41.1,"5,028","1,575","1,190","1,960","1,190 to 1,960",31.3,23.6,39,23.6 to 39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,778 ","$31,549 ","$38,007 ","$31,549 to $38,007"
2010,39,39001,Adams County (OH),"28,137","6,428","5,369","7,487","5,369 to 7,487",22.8,19,26.6,19.0 to 26.6,"6,944","2,239","1,773","2,705","1,773 to 2,705",32.2,25.5,38.9,25.5 to 38.9,"5,043","1,557","1,233","1,881","1,233 to 1,881",30.9,24.5,37.3,24.5 to 37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$33,549 ","$30,549 ","$36,549 ","$30,549 to $36,549"
2009,39,39001,Adams County (OH),"27,753","5,949","4,834","7,064","4,834 to 7,064",21.4,17.4,25.5,17.4 to 25.5,"6,757","2,207","1,770","2,645","1,770 to 2,645",32.7,26.2,39.1,26.2 to 39.1,"4,900","1,517","1,211","1,823","1,211 to 1,823",31,24.7,37.2,24.7 to 37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,044 ","$31,005 ","$37,083 ","$31,005 to $37,083"
2008,39,39001,Adams County (OH),"27,928","6,127","5,117","7,137","5,117 to 7,137",21.9,18.3,25.6,18.3 to 25.6,"6,798","2,159","1,750","2,568","1,750 to 2,568",31.8,25.7,37.8,25.7 to 37.8,"4,878","1,443","1,148","1,738","1,148 to 1,738",29.6,23.5,35.6,23.5 to 35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,564 ","$31,464 ","$37,665 ","$31,464 to $37,665"
2007,39,39001,Adams County (OH),"27,847","5,468","4,522","6,414","4,522 to 6,414",19.6,16.2,23,16.2 to 23.0,"6,802","1,871","1,460","2,281","1,460 to 2,281",27.5,21.5,33.5,21.5 to 33.5,"4,885","1,251",945,"1,557","945 to 1,557",25.6,19.3,31.9,19.3 to 31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,062 ","$33,903 ","$38,221 ","$33,903 to $38,221"
2006,39,39001,Adams County (OH),"28,195","5,602","4,660","6,545","4,660 to 6,545",19.9,16.5,23.2,16.5 to 23.2,"6,829","1,902","1,535","2,269","1,535 to 2,269",27.9,22.5,33.2,22.5 to 33.2,"4,953","1,298","1,023","1,573","1,023 to 1,573",26.2,20.7,31.8,20.7 to 31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$32,146 ","$29,534 ","$34,757 ","$29,534 to $34,757"
2005,39,39001,Adams County (OH),"28,026","5,735","4,782","6,689","4,782 to 6,689",20.5,17.1,23.9,17.1 to 23.9,"6,853","1,997","1,602","2,392","1,602 to 2,392",29.1,23.4,34.9,23.4 to 34.9,"4,966","1,410","1,117","1,703","1,117 to 1,703",28.4,22.5,34.3,22.5 to 34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$32,279 ","$29,924 ","$34,634 ","$29,924 to $34,634"
